time,signal,
0.519219219,-0.211552718,160
0.520328662,-0.125435486,160
0.521438105,-0.00784807,160
0.522547547,0.067194004,160
0.52365699,0.039690927,160
0.524766433,0.01218785,160
0.525875876,0.001779336,160
0.526985318,-0.004070625,160
0.528094761,-0.008998972,160
0.529204204,-0.011623283,160
0.530313647,-0.014247594,160
0.53142309,-0.031980855,160
0.532532532,-0.053927201,160
0.533641975,-0.042363148,160
0.534751418,0.056146735,160
0.535860861,0.154656619,160
0.536970303,0.078767737,160
0.538079746,-0.047916915,160
0.539189189,-0.109284117,160
0.540298632,0.005343142,160
0.541408075,0.119970401,160
0.542517517,0.163257965,160
0.54362696,0.184863802,160
0.544736403,0.19312923,160
0.545845846,0.16404156,160
0.546955288,0.134953891,160
0.548064731,0.076644105,160
0.549174174,0.009075831,160
0.550283617,-0.01455798,160
0.55139306,0.08973513,160
0.552502502,0.19402824,160
0.553611945,0.177744375,160
0.554721388,0.121670034,160
0.555830831,0.075210144,160
0.556940273,0.057885041,160
0.558049716,0.040559938,160
0.559159159,0.093507502,160
0.560268602,0.170589094,160
0.561378045,0.208620211,160
0.562487487,0.123398232,160
0.56359693,0.038176252,160
0.564706373,0.077647617,160
0.565815816,0.161652377,160
0.566925258,0.234663379,160
0.568034701,0.271501278,160
0.569144144,0.308339177,160
0.570253587,0.268070669,160
0.57136303,0.199185385,160
0.572472472,0.147980848,160
0.573581915,0.157480196,160
0.574691358,0.166979543,160
0.575800801,0.124064936,160
0.576910243,0.060949102,160
0.578019686,0.021849884,160
0.579129129,0.068879396,160
0.580238572,0.115908908,160
0.581348015,0.143311523,160
0.582457457,0.162863357,160
0.5835669,0.174137608,160
0.584676343,0.15437095,160
0.585785786,0.134604292,160
0.586895228,0.184025476,160
0.588004671,0.262152261,160
0.589114114,0.322949327,160
0.590223557,0.315711089,160
0.591332999,0.308472851,160
0.592442442,0.302132264,160
0.593551885,0.296177765,160
0.594661328,0.29590703,160
0.595770771,0.319027136,160
0.596880213,0.342147242,160
0.597989656,0.325526406,160
0.599099099,0.291194937,160
0.600208542,0.254451262,160
0.601317984,0.207286854,160
0.602427427,0.160122446,160
0.60353687,0.219677115,160
0.604646313,0.328486826,160
0.605755756,0.397537986,160
0.606865198,0.286018373,160
0.607974641,0.174498759,160
0.609084084,0.228573067,160
0.610193527,0.361764421,160
0.611302969,0.448547968,160
0.612412412,0.313381032,160
0.613521855,0.178214097,160
0.614631298,0.127019029,160
0.615740741,0.117338193,160
0.616850183,0.120009027,160
0.617959626,0.184999866,160
0.619069069,0.249990705,160
0.620178512,0.235102722,160
0.621287954,0.179367657,160
0.622397397,0.141740861,160
0.62350684,0.200691475,160
0.624616283,0.259642088,160
0.625725726,0.210232463,160
0.626835168,0.103528877,160
0.627944611,0.033464077,160
0.629054054,0.170409019,160
0.630163497,0.307353962,160
0.631272939,0.269089815,160
0.632382382,0.135071623,160
0.633491825,0.01928374,160
0.634601268,0.0128776,160
0.635710711,0.006471459,160
0.636820153,0.002586381,160
0.637929596,0.000124961,160
0.639039039,0.001032467,160
0.640148482,0.023463707,160
0.641257924,0.045894946,160
0.642367367,0.006215763,160
0.64347681,-0.069694574,160
0.644586253,-0.130196747,160
0.645695696,-0.085561074,160
0.646805138,-0.0409254,160
0.647914581,-0.036495365,160
0.649024024,-0.056285592,160
0.650133467,-0.075009606,160
0.651242909,-0.085936929,160
0.652352352,-0.096864252,160
0.653461795,-0.085961574,160
0.654571238,-0.06148168,160
0.65568068,-0.047037793,160
0.656790123,-0.111544282,160
0.657899566,-0.176050771,160
0.659009009,-0.185636465,160
0.660118452,-0.159964383,160
0.661227894,-0.138223871,160
0.662337337,-0.14990174,160
0.66344678,-0.161579608,160
0.664556223,-0.129827624,160
0.665665665,-0.069303329,160
0.666775108,-0.019638685,160
0.667884551,-0.07021751,160
0.668993994,-0.120796336,160
0.670103437,-0.164479674,160
0.671212879,-0.203449645,160
0.672322322,-0.232099986,160
0.673431765,-0.156694094,160
0.674541208,-0.081288202,160
0.67565065,-0.119089645,160
0.676760093,-0.236716834,160
0.677869536,-0.338551766,160
0.678978979,-0.265235323,160
0.680088422,-0.191918879,160
0.681197864,-0.207871205,160
0.682307307,-0.288746427,160
0.68341675,-0.363134078,160
